	6138
বাড়িয়ে	4
পাশাপাশি	4
যার	4
ইয়র্কার	4
মুখে	4
থাইল্যান্ড	4
ডাইভ	4
বলটা	4
ছাড়ার	4
ডিসেম্বর	4
আবারও	4
মালিঙ্গার	4
পাবেন	4
মারার	4
মিড	4
স্কয়ার	4
রাখা	4
পেনাল্টি	4
দিয়েছিলেন	4
পোশাক	4
কুড়িয়ে	4
কবজি	4
উঠেছে	4
থাকি	4
নিয়েছেন	4
শিকার	4
নিশ্চিত	4
হিসাব	4
হেরাথ	4
কাভানি	4
নদীতে	4
বোলারদের	4
সামলানোর	4
করাতে	4
পাই	4
হামিদ	4
যাওয়া	4
শূন্যে	4
পড়তে	4
থিরিমান্নে	4
বিশ্বকাপের	4
উইকেটও	4
টেস্টে	4
একদিনের	4
বিপজ্জনক	4
চাস	4
থাকত	4
রাজনীতি	4
পারবেন	4
কলেজ	4
দেব	4
ডিফেন্ডার	4
দিয়েছিল	4
সীমা	4
থাকার	4
তায়	4
সাংস্কৃতিক	4
মাধ্যমের	4
জানি	4
প্রাইম	4
খুবই	4
কাটিয়ে	4
রাত	4
দিলাম	4
নিরাপত্তা	4
গতিতে	4
তারপর	4
উঠলেও	4
ছোটবেলায়	4
কার্যকর	4
বুচার	4
চান	4
ঝলসে	4
পরিমাপ	4
জগ	4
ধরার	4
দুর্দান্তই	4
বই	4
স্কুল	4
ভরবেগের	4
ভাষা	4
দিনের	4
হ্যাটট্রিক	4
বৈধ	4
রাজ্য	4
ব্যবহারের	4
সুবিধা	4
কভু	4
তালিকা	4
অন	4
প্রয়োগে	4
জায়গায়	4
আট	4
একই	4
টানা	4
পুলিশকে	4
দমন	4
বাউন্সার	4
ক্লার্ক	4
ম্যাথুসের	4
ধীরে	4
পোস্টে	4
উপায়	4
আপনাকে	4
আশ্চর্য	4
তবু	4
খুলে	4
ফ্লিক	4
হার	4
জড়ান	4
আল	4
ডেথ	4
ঢালা	4
মেসি	4
রেখেছেন	4
ছুটতে	4
নামক	4
সাধারণ	4
চেষ্টার	4
টেন্ডুলকার	4
নামের	4
জীবনের	4
কাটা	4
আরেকটি	4
হাডিন	4
নিউক্লীয়	4
মাধ্যমেই	4
অবাক	4
বেগ	4
ফিল্ডার	4
লাগার	4
এমিলি	4
মুখ	4
টোকায়	4
পাঠানো	4
ধারাবাহিক	4
ইতিহাসে	4
লক্ষ্যে	4
অনুষ্ঠিত	4
পচা	4
জোহানেসবার্গ	4
স্কুপ	4
পুল	4
নির্বাচন	4
ওঠা	4
গুলির	4
কারা	4
বোলিং	4
পারফরম্যান্সের	4
ফেল	4
মানুষের	4
সাঙ্গাকারার	4
পথে	4
হত্যা	4
পাওয়া	4
বোল্ড	4
বাউন্ডারিও	4
ব্যবধান	4
বাচ্চাদের	4
দিলেই	4
ফাঁক	4
পা	4
ইচ্ছার	4
জায়গা	4
রহমান	4
আন্দোলন	4
প্রয়োগে	4
তামিম	4
নিউক্লীয়	4
ওয়াইড	4
মুক্তি	4
ছয়	4
ঢোকা	4
গোলের	4
অ্যাটলেটিকোর	4
লাগছে	4
অ্যারন	4
লেখক	4
হাঁটু	4
জিনিস	4
লেংথের	4
স্কোর	4
সোবার্সের	4
অবশ্য	4
আসলে	4
জার্সি	4
দেখি	4
মেরে	4
লিখলেন	4
নিলাম	4
ভাবনা	4
সঙ্গী	4
নেওয়া	4
যেকোনো	4
টাই৷	4
প্রমাণ	4
রং	4
দিতেন	4
পাঠাতে	4
করেছিলেন	4
নজিবুল্লাহ	4
খুঁজতে	4
কেটে	4
সীমানা	4
সুয়ারেজকে	4
হুলস্থুল	4
পাওয়ার	4
দেশে	4
কারও	4
যায়নি	4
মধ্যেই	4
জোড়া	4
পাকিস্তানের	4
তাপ	4
নং	4
ক্লাব	4
আউটের	4
ভাবতে	4
দেয়নি	4
জাজাই	4
তথা	4
যাওয়া	4
লাগবেই	4
খেলোয়াড়	4
যেখানে	4
টেস্টটি	4
খাটো	4
করবেন	4
খেলোয়াড়	4
নিজ	4
দিলে	4
মালিঙ্গা	4
যথেষ্ট	4
বেরিংটন	4
পারিনি	4
নিজেই	4
প্লে	4
পরও	4
পরিণত	4
ক্লান্ত	4
জয়াবর্ধনে	4
যুদ্ধ	4
অস্বাভাবিক	4
থাকছে	4
পিকে	4
দিলশান	4
প্রতিষ্ঠা	4
নাসির	4
গার্ফিল্ড	4
নখ	4
বাউন্সও	3
রিপ্লে	3
মূর্ছে	3
সম্পর্ক	3
ঝাঁপাতে	3
কুকুর	3
দীর্ঘমেয়াদি	3
আত্মঘাতী	3
সাবান	3
দাঁড়াল	3
খেয়েছে	3
বৈদ্যুতিক	3
পোশাক	3
টায়ার	3
রিকশার	3
ইশারা	3
ইসলামের	3
বোলারদের	3
গুরুত্বারোপ	3
জাতিসংঘ	3
পারাটা	3
ভাগের	3
প্রয়োগএ	3
হামলার	3
সনদের	3
বোঝা	3
ধারাভাষ্যকক্ষে	3
দৌড়াতে	3
প্রস্তাব	3
সহজেই	3
ভিন্ন	3
বাতিল	3
শর্টসার্কিট	3
ক্ষেত্রের	3
ঝড়	3
কুড়ানোর	3
ঠিকমতো	3
নিষেধাজ্ঞা	3
কয়েকবার	3
গড়ায়	3
বিয়ারিং	3
যায়নি	3
লাখ	3
বিক্রিতে	3
সেদিকেই	3
পরিবারকে	3
দেখাবেন	3
মাইক্রোফোন	3
রুবেলকে	3
তুফান	3
ঢুকল	3
মারও	3
ওয়ালশ	3
বেজেছে	3
কৌশল	3
জড়ালেও	3
লেগেছিল	3
স্থিতিশীলতা	3
একদুই	3
দেখিয়ে	3
সুমন	3
সূত্রপাত	3
চীনা	3
ছাত্রদল	3
বেরিয়ে	3
ঊর্ধ্বে	3
নিলেই	3
স্থানের	3
আইনশৃঙ্খলা	3
ফাঁকেই	3
উদ্ধার	3
গুণফলকে	3
খেতে	3
হওয়া	3
চরণতলে	3
পারফরম্যান্স	3
জানিয়ে	3
ককটেলের	3
বয়কে	3
মোদের	3
অজুহাতে	3
কাজটিও	3
বিমান	3
বাদল	3
সম্পর্কিত	3
উন্নয়ন	3
পোষা	3
হারিয়েছি	3
বাঁশি	3
খাবি	3
আগুনের	3
ভাববে	3
এদিকসেদিক	3
কুড়ানোর	3
দৌড়াতেই	3
ডিফেন্ডাররা	3
পারলাম	3
রেখেও	3
মুঠোফোন	3
উচ্চতায়	3
লাফ	3
বুক	2
বন্ধুবান্ধবের	2
দৌড়	2
ভরাডুবির	2
টম	2
সেটিই	2
পড়েছিলাম	2
বিস্ফোরিত	2
রচনা	2
বেরিংটনের	2
আইজাক	2
দুষ্টু	2
শর	2
বিশাল	2
খেলেনি	2
বি	2
পদ্ধতি	2
আশায়	2
গড়াইয়া	2
লবিতে	2
অধিনায়কেরাও	2
আবিষ্কার	2
চেয়ে	2
কাছাকাছি	2
সাতজনই	2
সুপারস্টার	2
দুভাবেই	2
অভিনীত	2
কমিয়ে	2
নামলেন	2
নামি	2
দৃঢ়প্রত্যয়ী	2
উত্তম	2
চিন্তায়	2
দখলেও	2
বাড়িতে	2
সুইংও	2
নতুনত্বসবই	2
আইনে	2
স্কোর	2
দেখছেন	2
থ্রোতে	2
পন্টিংয়রের	2
আশরাফুল	2
লেকার্সের	2
ঘাঁটি	2
কুকুরের	2
সাড়া	2
বোলারকে	2
দিকেও	2
খেয়াল	2
প্রতিপক্ষ	2
আঙুলে	2
হুইলিং	2
চড়ুই	2
গড়িয়ে	2
তজুমদ্দিন	2
জিতলেও	2
ওরফে	2
বিকেলের	2
শনাক্ত	2
লাগাতে	2
বিভেদের	2
ভূঁইয়া	2
বললেই	2
ঘরানার	2
অনেকটা	2
কথায়	2
দাঁড়িয়েছে	2
পজেশন	2
জাদুটা	2
দাঁড়াতে	2
মানবাধিকার	2
বলছেন	2
খরচায়	2
মাহী	2
আম্পায়ারের	2
খেলছিল	2
বিজয়ের	2
মনো	2
বাঁধ	2
রঙ্গনা	2
দেখবে	2
মাঠছাড়া	2
সার্থক	2
ধৈর্যচ্যুতি	2
পিপুল	2
বুদ্ধি	2
নন্দী	2
টেলিফোনে	2
গেছে৷	2
ডাবল	2
মোচা	2
টেটের	2
সিঁধ	2
অনেকটাই	2
খচখচানি	2
ছুটেছে	2
অর্ধেক	2
একবারই	2
তৃপ্তি	2
চোরের	2
ক্রিজকে	2
সংবিধানের	2
ঠান্ডা	2
পাব	2
আলনুসরা	2
করলেন৷	2
ব্যাংককে	2
মরিতে	2
আউট৷	2
দক্ষতা	2
ঝেং	2
লক্ষাধিক	2
দুর্বল	2
করতেই	2
ফিন	2
সমাবেশ	2
স্পিনারই	2
হয়েছেন	2
বুলিয়ে	2
খেলত	2
ট্রলার	2
পেদ্রো	2
অংশী	2
ম্যাককালামের	2
স্টিভ	2
ঘায়েল	2
বিশ্ববিদ্যালয়ে	2
দিচ্ছিলেন	2
লাগায়	2
অন্যান্য	2
বদিউল	2
খেলতেন	2
চলমান	2
ঢুকছে	2
​ব্যারিংটন	2
পূর্বে	2
গোলরক্ষকের	2
ছয়ছয়টি	2
সোজা	2
স্লাইস	2
অসুস্থ	2
স্টাম্পিং	2
তাঁরা	2
পর্তুগিজ	2
দেয়নি	2
বিএনপি	2
ম্যাচান	2
ঘটিয়েছিল	2
হলেন	2
প্যান্টের	2
কলিংএসব	2
একবিংশ	2
কিছুক্ষণের	2
পড়া	2
গলিয়ে	2
বিপক্ষ	2
কেন্দ্রবিমুখী	2
অফের	2
পরে	2
হেসে	2
কাটছে	2
প্যাডে	2
সোহাগ	2
হাড়	2
বটে	2
হাঁকান৷	2
সম্মেলন	2
বাক্কা	2
মহাকাব্যিক	2
উদ্ভাসনের	2
নিবৃত্ত	2
অর্ডারে	2
ম্যাচসেরার	2
ব্যাডমিন্টন	2
ক্রেইগ	2
হ্যারিস	2
উত্তেজিত	2
দোষী	2
